name,year,average_sentiment,most_extreme_sentiment,most_extreme_title,most_extreme_link
Angelina Jolie,2004,-0.31141044696172077,0.9957444071769714,Sydney Sweeney steps out in Angelina Jolie's 2004 Oscars dress at ...,https://abcnews.go.com/GMA/Culture/sydney-sweeney-steps-angelina-jolies-2004-oscars-dress/story?id=108018188
Angelina Jolie,2005,0.5712670087814331,0.5712670087814331,Brad Pitt seeks joint custody in divorce from Angelina Jolie - BBC ...,https://www.bbc.com/news/world-us-canada-37883007
Angelina Jolie,2006,-0.29459112882614136,-0.9962162375450134,Brangelina: Why has the Pitt and Jolie divorce taken so long?,https://www.bbc.com/news/articles/cvg9dvr408do
Angelina Jolie,2007,0.31608814001083374,0.9990070462226868,Angelina Jolie and Brad Pitt's 2007 Venice Film Festival ...,https://people.com/all-about-angelina-jolie-brad-pitt-venice-film-festival-2007-8701544
Angelina Jolie,2008,-0.9972600936889648,-0.9972600936889648,Harvey Weinstein scandal: Who has accused him of what?,https://www.bbc.com/news/entertainment-arts-41580010
Angelina Jolie,2009,-0.2887108127276103,-0.9933784604072571,Angelina Jolie accuses Brad Pitt of abuse on private plane,https://www.bbc.com/news/world-us-canada-63139650
Angelina Jolie,2010,-0.9334162274996439,-0.998393714427948,Brad Pitt and Angelina Jolie sue the News of the World | Media law ...,https://www.theguardian.com/media/2010/feb/08/brad-pitt-angelina-jolie-sue
Angelina Jolie,2011,0.2082057992617289,0.9592263698577881,Angelina Jolie Signs with Talent Agency,https://www.hollywoodreporter.com/movies/movie-news/angelina-jolie-signs-talent-agency-260742/
Angelina Jolie,2012,0.8706891934076945,0.9868432879447937,Angelina Jolie Reflects on 2012 Oscars Dress,https://people.com/style/angelina-jolie-reflects-on-her-meme-making-2012-oscars-dress-i-was-just-so-comfortable/
Angelina Jolie,2013,0.3355773289998372,0.998145580291748,Angelina Jolie's emotional acceptance speech at Governors Awards ...,https://www.cnn.com/2013/11/18/showbiz/celebrity-news-gossip/angelina-jolie-governors-awards/index.html
Angelina Jolie,2014,0.9884570042292277,0.9980828762054443,Angelina Jolie receives honorary damehood - BBC News,https://www.bbc.com/news/entertainment-arts-29565253
Angelina Jolie,2015,0.36742617686589557,0.999578058719635,Kids' Choice Awards 2015: Angelina Jolie Speech,https://www.hollywoodreporter.com/news/general-news/kids-choice-awards-2015-angelina-785074/
Angelina Jolie,2016,-0.9945737520853678,-0.9975926280021667,Angelina Jolie Drops Legal Case Over 2016 Brad Pitt Plane Incident,https://www.eonline.com/news/1407934/angelina-jolie-drops-legal-case-over-2016-brad-pitt-plane-incident
Angelina Jolie,2017,0.33600781361262005,0.9960253238677979,"Telluride 2017: Angelina Jolie, Francis Ford Coppola, Ken Burns ...",https://www.hollywoodreporter.com/news/general-news/telluride-2017-angelina-jolie-francis-ford-coppola-ken-burns-films-make-cut-1034211/
Angelina Jolie,2018,0.33418689171473187,0.9997596144676208,Angelina Jolie Has Family Date Night With Shiloh and Zahara,https://people.com/movies/angelina-jolie-brings-daughters-shiloh-zahara-annie-awards/
Angelina Jolie,2019,-0.9908681511878967,-0.9978893399238586,Angelina Jolie says Brad Pitt was violent with their children on a ...,https://www.npr.org/2022/10/05/1126925040/brad-pitt-choked-and-his-children-angelina-jolie-says-in-a-court-filing
Angelina Jolie,2020,0.4240286946296692,0.9990654587745667,"Sundance 2020: Angelina Jolie, Taylor Swift and Pepe the Frog ...",https://www.theguardian.com/film/2019/dec/04/sundance-film-festival-2020-angelina-jolie-taylor-swift
Angelina Jolie,2021,-0.21584882338841757,0.9998660087585449,Angelina Jolie on How Kids Are Growing Up: They're Pretty Great ...,https://people.com/parents/angelina-jolie-how-her-kids-are-growing-up-theyre-pretty-great-people-exclusive/
Angelina Jolie,2022,-0.9876479109128317,-0.992878258228302,Angelina Jolie Details Abuse Allegations Against Brad Pitt in ...,https://www.nytimes.com/2022/10/04/movies/angelina-jolie-brad-pitt-lawsuit.html
Angelina Jolie,2023,-0.4682534535725911,-0.9997753500938416,"Angelina Jolie Says Hollywood Is Not Healthy, Plans to Leave L.A.",https://variety.com/2023/film/news/angelina-jolie-hollywood-not-healthy-leave-los-angeles-1235821869/
